policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_446.lp,2310,2650,4.09,0.0,optimal,4.759987000000001,4.701931
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_446.lp,2310,2650,3.98,0.0,optimal,4.589156667,4.582979
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1325.lp,2310,2650,3.99,0.0,optimal,4.5939496250000005,4.569723999999999
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1325.lp,2310,2650,4.01,0.0,optimal,4.6285528750000005,4.6190370000000005
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1030.lp,2310,2650,3.98,0.0,optimal,4.564128624999999,4.555924000000001
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1030.lp,2310,2650,3.97,0.0,optimal,4.580413,4.575031000000003
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1463.lp,2310,2650,3.98,0.0,optimal,4.5636916670000005,4.556258000000003
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1463.lp,2310,2650,4.0,0.0,optimal,4.610727791000002,4.604436999999997
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1064.lp,2310,2650,4.0,0.0,optimal,4.585962624999993,4.577249999999999
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1064.lp,2310,2650,4.01,0.0,optimal,4.6118065419999965,4.604949999999995
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1922.lp,2310,2650,3.97,0.0,optimal,4.550455207999995,4.542573999999995
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1922.lp,2310,2650,4.02,0.0,optimal,4.629976458000002,4.621715999999999
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1063.lp,2310,2650,3.96,0.0,optimal,4.548855209000003,4.5419139999999985
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1063.lp,2310,2650,4.08,0.0,optimal,4.700538417000004,4.690584000000008
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1099.lp,2310,2650,4.1,0.0,optimal,4.692787709000001,4.680544999999995
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1099.lp,2310,2650,4.03,0.0,optimal,4.638720042000003,4.6313069999999925
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1348.lp,2310,2650,4.03,0.0,optimal,4.626356791000006,4.616500000000002
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1348.lp,2310,2650,4.0,0.0,optimal,4.6193054169999925,4.611751999999996
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_728.lp,2310,2650,3.95,0.0,optimal,4.527414625000006,4.520711999999989
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_728.lp,2310,2650,4.08,0.0,optimal,4.6867543749999925,4.6767870000000045
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_325.lp,2310,2650,4.0,0.0,optimal,4.584818708,4.575842999999992
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_325.lp,2310,2650,4.03,0.0,optimal,4.634651542,4.627381
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1508.lp,2310,2650,4.18,0.0,optimal,4.802464458000003,4.777775000000005
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1508.lp,2310,2650,4.02,0.0,optimal,4.63790316699999,4.624578
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1625.lp,2310,2650,4.01,0.0,optimal,4.602096415999995,4.592962
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1625.lp,2310,2650,4.06,0.0,optimal,4.667536708,4.659925999999999
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1924.lp,2310,2650,4.06,0.0,optimal,4.659373082999991,4.647342000000009
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_1924.lp,2310,2650,4.1,0.0,optimal,4.729681542000009,4.712682999999984
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_569.lp,2310,2650,4.08,0.0,optimal,4.676759292000014,4.6620379999999955
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_569.lp,2310,2650,4.09,0.0,optimal,4.71625691600002,4.698290000000014
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_290.lp,2310,2650,4.05,0.0,optimal,4.648891499999991,4.634762999999992
gnn:supervised,545,tsp15,data/tsp15/instances/test_15n/instance_290.lp,2310,2650,3.95,0.0,optimal,4.554115082999999,4.5504689999999925
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_524.lp,2310,2650,4.12,0.0,optimal,4.743708166999994,4.7123479999999915
