policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_1.lp,2310,2650,3.99,0.0,optimal,4.615324292,4.5791319999999995
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_1.lp,2310,2650,3.98,0.0,optimal,4.571257833,4.563009
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_2.lp,2310,2650,3.94,0.0,optimal,4.5240845830000005,4.5114160000000005
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_2.lp,2310,2650,3.96,0.0,optimal,4.551971832999998,4.547174
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_3.lp,2310,2650,3.94,0.0,optimal,4.525096250000001,4.514717000000001
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_3.lp,2310,2650,3.95,0.0,optimal,4.555509791999999,4.544996999999999
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_4.lp,2310,2650,4.19,0.0,optimal,4.8740473750000035,4.7963640000000005
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_4.lp,2310,2650,4.02,0.0,optimal,4.631415249999996,4.619143000000001
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_5.lp,2310,2650,4.09,0.0,optimal,4.712027583000001,4.671107999999997
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_5.lp,2310,2650,3.98,0.0,optimal,4.568599374999998,4.560795999999996
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_6.lp,2310,2650,3.95,0.0,optimal,4.553897583000001,4.527380000000001
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_6.lp,2310,2650,3.97,0.0,optimal,4.571270915999996,4.5641510000000025
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_7.lp,2310,2650,4.1,0.0,optimal,4.711939916999995,4.682624000000004
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_7.lp,2310,2650,4.05,0.0,optimal,4.663757832999998,4.63785
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_8.lp,2310,2650,4.07,0.0,optimal,4.683726875000005,4.661546999999999
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_8.lp,2310,2650,4.03,0.0,optimal,4.638244374999999,4.625546
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_9.lp,2310,2650,4.03,0.0,optimal,4.636976332999993,4.622962000000001
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_9.lp,2310,2650,4.14,0.0,optimal,4.776729332999992,4.744305999999995
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_10.lp,2310,2650,4.12,0.0,optimal,4.719656541999996,4.710102000000006
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_10.lp,2310,2650,4.12,0.0,optimal,4.736108375000001,4.718393000000006
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_11.lp,2310,2650,4.08,0.0,optimal,4.67735145799999,4.665334999999999
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_11.lp,2310,2650,4.04,0.0,optimal,4.6427039579999985,4.636372000000009
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_12.lp,2310,2650,4.03,0.0,optimal,4.6130471250000085,4.605548999999996
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_12.lp,2310,2650,4.14,0.0,optimal,4.773482250000001,4.739525
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_13.lp,2310,2650,4.13,0.0,optimal,4.729137584,4.717233999999991
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_13.lp,2310,2650,4.15,0.0,optimal,4.775802791000004,4.762280999999987
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_14.lp,2310,2650,4.12,0.0,optimal,4.719982625,4.707313999999997
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_14.lp,2310,2650,4.16,0.0,optimal,4.781675790999998,4.769650999999996
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_15.lp,2310,2650,4.09,0.0,optimal,4.710852833999979,4.686146000000008
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_15.lp,2310,2650,4.04,0.0,optimal,4.677505958000012,4.641188
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_16.lp,2310,2650,3.97,0.0,optimal,4.562497000000008,4.552790000000016
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_16.lp,2310,2650,3.98,0.0,optimal,4.5775642080000125,4.571604000000008
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_17.lp,2310,2650,3.95,0.0,optimal,4.527914457999998,4.522354000000007
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_17.lp,2310,2650,4.06,0.0,optimal,4.660798917000022,4.6523870000000045
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_18.lp,2310,2650,4.05,0.0,optimal,4.675941375000008,4.638906999999989
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_18.lp,2310,2650,4.05,0.0,optimal,4.668447457999974,4.654843999999997
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_19.lp,2310,2650,3.97,0.0,optimal,4.5552886249999744,4.548380000000009
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_19.lp,2310,2650,4.18,0.0,optimal,4.8072902079999835,4.779201999999998
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_20.lp,2310,2650,4.01,0.0,optimal,4.5905434999999954,4.583623999999986
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_20.lp,2310,2650,4.09,0.0,optimal,4.697220165999994,4.689363000000014
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_21.lp,2310,2650,3.98,0.0,optimal,4.559029624999994,4.554353999999989
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_21.lp,2310,2650,3.99,0.0,optimal,4.581339542000023,4.577684000000005
internal:relpscost,545,tsp15,data/tsp15/instances/test_15n/instance_22.lp,2310,2650,3.96,0.0,optimal,4.534646666000015,4.530207999999988
gnn:imitation,545,tsp15,data/tsp15/instances/test_15n/instance_22.lp,2310,2650,3.98,0.0,optimal,4.573405207999997,4.56989200000001
